#     w           TDOS(K,w)           Gamma(0,w)           ADOS(K,w)       ADOS_Error        TDOS_Error    Gamma_Error    TDOS_Loc(R=0)       TDOS_Loc_Error
       -1.850000   0.15161073E-03   0.39767708E-03   0.15725126E-03   0.46695339E-05   0.00000000E+00   0.13869378E-01   0.15218225E-03   0.21759147E-05
       -1.833333   0.19266216E-03   0.50334076E-03   0.20567266E-03   0.63944221E-05   0.00000000E+00   0.17601911E-01   0.19434507E-03   0.29971333E-05
       -1.816667   0.29789731E-03   0.81132685E-03   0.35026017E-03   0.11599696E-04   0.00000000E+00   0.22997447E-01   0.30472267E-03   0.53531140E-05
       -1.800000   0.62144014E-02   0.24742016E-01   0.11738528E-01   0.41353583E-03   0.00000000E+00   0.27934249E-01   0.63889717E-02   0.20220236E-03
       -1.783333   0.28256803E-01   0.80140044E-01   0.34703598E-01   0.12450607E-02   0.00000000E+00   0.33626649E-01   0.29350078E-01   0.62300008E-03
       -1.766667   0.42060595E-01   0.10028729E+00   0.42129869E-01   0.15220854E-02   0.00000000E+00   0.32190723E-01   0.42943189E-01   0.86397513E-03
       -1.750000   0.52120923E-01   0.12458722E+00   0.51873582E-01   0.18790548E-02   0.00000000E+00   0.31992989E-01   0.52512004E-01   0.10631182E-02
       -1.733333   0.60150650E-01   0.14284202E+00   0.59824395E-01   0.21711383E-02   0.00000000E+00   0.30853201E-01   0.60213095E-01   0.12283550E-02
       -1.716667   0.67446255E-01   0.15839083E+00   0.66949069E-01   0.24340912E-02   0.00000000E+00   0.28529234E-01   0.67275184E-01   0.13815510E-02
       -1.700000   0.74233042E-01   0.17219899E+00   0.73606247E-01   0.26804174E-02   0.00000000E+00   0.28931595E-01   0.73873724E-01   0.15264466E-02
       -1.683333   0.80650318E-01   0.18463263E+00   0.79923099E-01   0.29145799E-02   0.00000000E+00   0.26562160E-01   0.80131267E-01   0.16652819E-02
       -1.666667   0.86795041E-01   0.19594712E+00   0.85984333E-01   0.31395314E-02   0.00000000E+00   0.27233271E-01   0.86134215E-01   0.17995959E-02
       -1.650000   0.92731474E-01   0.20632428E+00   0.91848640E-01   0.33572968E-02   0.00000000E+00   0.28170907E-01   0.91941094E-01   0.19304199E-02
       -1.633333   0.98506599E-01   0.21589960E+00   0.97558870E-01   0.35693275E-02   0.00000000E+00   0.29149558E-01   0.97595279E-01   0.20584862E-02
       -1.616667   0.10415561E+00   0.22477619E+00   0.10314741E+00   0.37766951E-02   0.00000000E+00   0.25780051E-01   0.10312958E+00   0.21843227E-02
       -1.600000   0.10970579E+00   0.23303443E+00   0.10863966E+00   0.39802171E-02   0.00000000E+00   0.16934820E-01   0.10856971E+00   0.23083196E-02
       -1.583333   0.11517908E+00   0.24073870E+00   0.11405627E+00   0.41805314E-02   0.00000000E+00   0.17208711E-01   0.11393652E+00   0.24307683E-02
       -1.566667   0.12059345E+00   0.24794206E+00   0.11941430E+00   0.43781364E-02   0.00000000E+00   0.93564311E-02   0.11924721E+00   0.25518791E-02
       -1.550000   0.12596370E+00   0.25468913E+00   0.12472794E+00   0.45734107E-02   0.00000000E+00   0.88922487E-02   0.12451599E+00   0.26717903E-02
       -1.533333   0.13130199E+00   0.26101759E+00   0.13000885E+00   0.47666297E-02   0.00000000E+00   0.86190027E-02   0.12975452E+00   0.27905791E-02
       -1.516667   0.13661829E+00   0.26695919E+00   0.13526667E+00   0.49579856E-02   0.00000000E+00   0.83553358E-02   0.13497246E+00   0.29082751E-02
