#     w           TDOS(K,w)           Gamma(0,w)           ADOS(K,w)       ADOS_Error        TDOS_Error    Gamma_Error    TDOS_Loc(R=0)       TDOS_Loc_Error
       -2.083333   0.96667835E-01   0.17720581E+00   0.94742938E-01   0.56678753E-02   0.00000000E+00   0.13396832E-01   0.95579619E-01   0.41286384E-02
       -2.066667   0.10222623E+00   0.18495715E+00   0.10035566E+00   0.59740796E-02   0.00000000E+00   0.12795148E-01   0.10096494E+00   0.43320108E-02
       -2.050000   0.10761521E+00   0.19208806E+00   0.10580543E+00   0.62654039E-02   0.00000000E+00   0.12352749E-01   0.10618491E+00   0.45220379E-02
       -2.033333   0.11285352E+00   0.19866271E+00   0.11110406E+00   0.65427834E-02   0.00000000E+00   0.11985765E-01   0.11125360E+00   0.46991214E-02
       -2.016667   0.11795550E+00   0.20473543E+00   0.11626152E+00   0.68070749E-02   0.00000000E+00   0.11663980E-01   0.11618268E+00   0.48636320E-02
       -2.000000   0.12293204E+00   0.21035245E+00   0.12128612E+00   0.70590430E-02   0.00000000E+00   0.11371653E-01   0.12098166E+00   0.50159094E-02
       -1.983333   0.12779136E+00   0.21555338E+00   0.12618457E+00   0.72993506E-02   0.00000000E+00   0.11099634E-01   0.12565826E+00   0.51562682E-02
       -1.966667   0.13253947E+00   0.22037250E+00   0.13096206E+00   0.75285578E-02   0.00000000E+00   0.10842864E-01   0.13021860E+00   0.52850104E-02
       -1.950000   0.13718062E+00   0.22483976E+00   0.13562236E+00   0.77471249E-02   0.00000000E+00   0.10598999E-01   0.13466743E+00   0.54024403E-02
       -1.933333   0.14171756E+00   0.22898163E+00   0.14016793E+00   0.79554213E-02   0.00000000E+00   0.10367469E-01   0.13900839E+00   0.55088824E-02
       -1.916667   0.14615190E+00   0.23282175E+00   0.14460009E+00   0.81537382E-02   0.00000000E+00   0.10148680E-01   0.14324421E+00   0.56047016E-02
       -1.900000   0.15048431E+00   0.23638147E+00   0.14891915E+00   0.83423051E-02   0.00000000E+00   0.99433458E-02   0.14737692E+00   0.56903243E-02
       -1.883333   0.15471482E+00   0.23968033E+00   0.15312461E+00   0.85213088E-02   0.00000000E+00   0.97520502E-02   0.15140805E+00   0.57662600E-02
       -1.866667   0.15884297E+00   0.24273634E+00   0.15721542E+00   0.86909153E-02   0.00000000E+00   0.95750764E-02   0.15533890E+00   0.58331229E-02
       -1.850000   0.16286812E+00   0.24556629E+00   0.16119013E+00   0.88512924E-02   0.00000000E+00   0.94124018E-02   0.15917070E+00   0.58916516E-02
       -1.833333   0.16678957E+00   0.24818597E+00   0.16504721E+00   0.90026330E-02   0.00000000E+00   0.92637598E-02   0.16290482E+00   0.59427267E-02
       -1.816667   0.17060681E+00   0.25061033E+00   0.16878526E+00   0.91451765E-02   0.00000000E+00   0.91287089E-02   0.16654294E+00   0.59873858E-02
       -1.800000   0.17431961E+00   0.25285360E+00   0.17240321E+00   0.92792273E-02   0.00000000E+00   0.90066861E-02   0.17008720E+00   0.60268316E-02
       -1.783333   0.17792823E+00   0.25492940E+00   0.17590062E+00   0.94051669E-02   0.00000000E+00   0.88970441E-02   0.17354027E+00   0.60624349E-02
       -1.766667   0.18143343E+00   0.25685076E+00   0.17927779E+00   0.95234586E-02   0.00000000E+00   0.87990781E-02   0.17690544E+00   0.60957274E-02
       -1.750000   0.18483658E+00   0.25863018E+00   0.18253597E+00   0.96346410E-02   0.00000000E+00   0.87120472E-02   0.18018655E+00   0.61283818E-02
       -1.733333   0.18813962E+00   0.26027961E+00   0.18567742E+00   0.97393099E-02   0.00000000E+00   0.86351924E-02   0.18338795E+00   0.61621763E-02
       -1.716667   0.19134506E+00   0.26181046E+00   0.18870548E+00   0.98380863E-02   0.00000000E+00   0.85677496E-02   0.18651437E+00   0.61989387E-02
       -1.700000   0.19445583E+00   0.26323352E+00   0.19162453E+00   0.99315716E-02   0.00000000E+00   0.85089576E-02   0.18957074E+00   0.62404679E-02
       -1.683333   0.19747521E+00   0.26455893E+00   0.19443989E+00   0.10020292E-01   0.00000000E+00   0.84580555E-02   0.19256192E+00   0.62884307E-02
       -1.666667   0.20040661E+00   0.26579610E+00   0.19715767E+00   0.10104633E-01   0.00000000E+00   0.84142712E-02   0.19549245E+00   0.63442384E-02
       -1.650000   0.20325341E+00   0.26695367E+00   0.19978450E+00   0.10184779E-01   0.00000000E+00   0.83767986E-02   0.19836631E+00   0.64089080E-02
       -1.633333   0.20601876E+00   0.26803937E+00   0.20232733E+00   0.10260647E-01   0.00000000E+00   0.83447684E-02   0.20118661E+00   0.64829228E-02
       -1.616667   0.20870537E+00   0.26906006E+00   0.20479302E+00   0.10331840E-01   0.00000000E+00   0.83172155E-02   0.20395537E+00   0.65661074E-02
       -1.600000   0.21131536E+00   0.27002161E+00   0.20718808E+00   0.10397625E-01   0.00000000E+00   0.82930513E-02   0.20667335E+00   0.66575375E-02
       -1.583333   0.21385017E+00   0.27092893E+00   0.20951831E+00   0.10456921E-01   0.00000000E+00   0.82710450E-02   0.20933998E+00   0.67555006E-02
       -1.566667   0.21631043E+00   0.27178596E+00   0.21178856E+00   0.10508334E-01   0.00000000E+00   0.82498204E-02   0.21195329E+00   0.68575210E-02
       -1.550000   0.21869602E+00   0.27259576E+00   0.21400244E+00   0.10550209E-01   0.00000000E+00   0.82278700E-02   0.21451008E+00   0.69604543E-02
       -1.533333   0.22100606E+00   0.27336056E+00   0.21616217E+00   0.10580715E-01   0.00000000E+00   0.82035847E-02   0.21700600E+00   0.70606463E-02
       -1.516667   0.22323907E+00   0.27408187E+00   0.21826854E+00   0.10597949E-01   0.00000000E+00   0.81752985E-02   0.21943586E+00   0.71541472E-02
       -1.500000   0.22539310E+00   0.27476067E+00   0.22032086E+00   0.10600058E-01   0.00000000E+00   0.81413406E-02   0.22179393E+00   0.72369605E-02
       -1.483333   0.22746592E+00   0.27539751E+00   0.22231711E+00   0.10585362E-01   0.00000000E+00   0.81000901E-02   0.22407420E+00   0.73053092E-02
       -1.466667   0.22945524E+00   0.27599275E+00   0.22425412E+00   0.10552484E-01   0.00000000E+00   0.80500294E-02   0.22627079E+00   0.73558940E-02
       -1.450000   0.23135891E+00   0.27654667E+00   0.22612787E+00   0.10500467E-01   0.00000000E+00   0.79897900E-02   0.22837818E+00   0.73861261E-02
       -1.433333   0.23317514E+00   0.27705970E+00   0.22793385E+00   0.10428878E-01   0.00000000E+00   0.79181937E-02   0.23039158E+00   0.73943161E-02
       -1.416667   0.23490267E+00   0.27753256E+00   0.22966746E+00   0.10337889E-01   0.00000000E+00   0.78342880E-02   0.23230708E+00   0.73798059E-02
       -1.400000   0.23654093E+00   0.27796637E+00   0.23132443E+00   0.10228330E-01   0.00000000E+00   0.77373794E-02   0.23412189E+00   0.73430362E-02
       -1.383333   0.23809014E+00   0.27836279E+00   0.23290126E+00   0.10101710E-01   0.00000000E+00   0.76270709E-02   0.23583446E+00   0.72855450E-02
       -1.366667   0.23955140E+00   0.27872403E+00   0.23439553E+00   0.99601909E-02   0.00000000E+00   0.75033043E-02   0.23744451E+00   0.72098976E-02
       -1.350000   0.24092668E+00   0.27905289E+00   0.23580623E+00   0.98065196E-02   0.00000000E+00   0.73664088E-02   0.23895311E+00   0.71195507E-02
       -1.333333   0.24221876E+00   0.27935271E+00   0.23713389E+00   0.96439111E-02   0.00000000E+00   0.72171523E-02   0.24036253E+00   0.70186572E-02
       -1.316667   0.24343120E+00   0.27962728E+00   0.23838064E+00   0.94758823E-02   0.00000000E+00   0.70567865E-02   0.24167620E+00   0.69118181E-02
       -1.300000   0.24456814E+00   0.27988070E+00   0.23955009E+00   0.93060453E-02   0.00000000E+00   0.68870744E-02   0.24289848E+00   0.68037913E-02
       -1.283333   0.24563421E+00   0.28011727E+00   0.24064718E+00   0.91378697E-02   0.00000000E+00   0.67102890E-02   0.24403446E+00   0.66991728E-02
       -1.266667   0.24663432E+00   0.28034132E+00   0.24167790E+00   0.89744341E-02   0.00000000E+00   0.65291701E-02   0.24508977E+00   0.66020713E-02
       -1.250000   0.24757352E+00   0.28055707E+00   0.24264900E+00   0.88181925E-02   0.00000000E+00   0.63468352E-02   0.24607034E+00   0.65158067E-02
       -1.233333   0.24845687E+00   0.28076854E+00   0.24356769E+00   0.86707857E-02   0.00000000E+00   0.61666432E-02   0.24698221E+00   0.64426671E-02
       -1.216667   0.24928930E+00   0.28097938E+00   0.24444138E+00   0.85329253E-02   0.00000000E+00   0.59920176E-02   0.24783144E+00   0.63837630E-02
       -1.200000   0.25007558E+00   0.28119287E+00   0.24527750E+00   0.84043752E-02   0.00000000E+00   0.58262452E-02   0.24862399E+00   0.63390044E-02
       -1.183333   0.25082019E+00   0.28141180E+00   0.24608332E+00   0.82840378E-02   0.00000000E+00   0.56722679E-02   0.24936573E+00   0.63072090E-02
       -1.166667   0.25152736E+00   0.28163844E+00   0.24686592E+00   0.81701386E-02   0.00000000E+00   0.55324918E-02   0.25006242E+00   0.62863259E-02
       -1.150000   0.25220099E+00   0.28187453E+00   0.24763211E+00   0.80604865E-02   0.00000000E+00   0.54086393E-02   0.25071976E+00   0.62737360E-02
       -1.133333   0.25284465E+00   0.28212123E+00   0.24838844E+00   0.79527725E-02   0.00000000E+00   0.53016651E-02   0.25134339E+00   0.62665839E-02
       -1.116667   0.25346153E+00   0.28237909E+00   0.24914120E+00   0.78448702E-02   0.00000000E+00   0.52117516E-02   0.25193891E+00   0.62620912E-02
       -1.100000   0.25405446E+00   0.28264814E+00   0.24989640E+00   0.77351002E-02   0.00000000E+00   0.51383860E-02   0.25251183E+00   0.62578179E-02
       -1.083333   0.25462582E+00   0.28292783E+00   0.25065983E+00   0.76224336E-02   0.00000000E+00   0.50805074E-02   0.25306753E+00   0.62518495E-02
       -1.066667   0.25517760E+00   0.28321715E+00   0.25143699E+00   0.75066194E-02   0.00000000E+00   0.50366999E-02   0.25361117E+00   0.62429060E-02
       -1.050000   0.25571138E+00   0.28351471E+00   0.25223306E+00   0.73882350E-02   0.00000000E+00   0.50054015E-02   0.25414758E+00   0.62303757E-02
       -1.033333   0.25622838E+00   0.28381877E+00   0.25305285E+00   0.72686662E-02   0.00000000E+00   0.49850993E-02   0.25468120E+00   0.62142872E-02
       -1.016667   0.25672952E+00   0.28412738E+00   0.25390075E+00   0.71500315E-02   0.00000000E+00   0.49744889E-02   0.25521597E+00   0.61952332E-02
       -1.000000   0.25721555E+00   0.28443848E+00   0.25478054E+00   0.70350685E-02   0.00000000E+00   0.49725832E-02   0.25575530E+00   0.61742606E-02
       -0.983333   0.25768710E+00   0.28474991E+00   0.25569536E+00   0.69269960E-02   0.00000000E+00   0.49787691E-02   0.25630206E+00   0.61527414E-02
       -0.966667   0.25814486E+00   0.28505951E+00   0.25664748E+00   0.68293666E-02   0.00000000E+00   0.49928136E-02   0.25685857E+00   0.61322382E-02
       -0.950000   0.25858961E+00   0.28536516E+00   0.25763819E+00   0.67459181E-02   0.00000000E+00   0.50148292E-02   0.25742659E+00   0.61143759E-02
       -0.933333   0.25902234E+00   0.28566476E+00   0.25866764E+00   0.66804250E-02   0.00000000E+00   0.50452067E-02   0.25800738E+00   0.61007297E-02
       -0.916667   0.25944423E+00   0.28595624E+00   0.25973464E+00   0.66365505E-02   0.00000000E+00   0.50845261E-02   0.25860165E+00   0.60927382E-02
       -0.900000   0.25985664E+00   0.28623758E+00   0.26083653E+00   0.66176938E-02   0.00000000E+00   0.51334563E-02   0.25920961E+00   0.60916438E-02
       -0.883333   0.26026107E+00   0.28650676E+00   0.26196905E+00   0.66268295E-02   0.00000000E+00   0.51926501E-02   0.25983084E+00   0.60984607E-02
       -0.866667   0.26065904E+00   0.28676182E+00   0.26312627E+00   0.66663361E-02   0.00000000E+00   0.52626442E-02   0.26046434E+00   0.61139624E-02
       -0.850000   0.26105200E+00   0.28700081E+00   0.26430054E+00   0.67378214E-02   0.00000000E+00   0.53437680E-02   0.26110844E+00   0.61386802E-02
       -0.833333   0.26144120E+00   0.28722191E+00   0.26548254E+00   0.68419528E-02   0.00000000E+00   0.54360683E-02   0.26176081E+00   0.61729012E-02
       -0.816667   0.26182766E+00   0.28742344E+00   0.26666149E+00   0.69783130E-02   0.00000000E+00   0.55392513E-02   0.26241841E+00   0.62166561E-02
       -0.800000   0.26221205E+00   0.28760401E+00   0.26782538E+00   0.71453007E-02   0.00000000E+00   0.56526467E-02   0.26307765E+00   0.62696954E-02
       -0.783333   0.26259472E+00   0.28776259E+00   0.26896140E+00   0.73400952E-02   0.00000000E+00   0.57751941E-02   0.26373440E+00   0.63314549E-02
       -0.766667   0.26297573E+00   0.28789867E+00   0.27005654E+00   0.75586995E-02   0.00000000E+00   0.59054552E-02   0.26438422E+00   0.64010233E-02
       -0.750000   0.26335486E+00   0.28801237E+00   0.27109818E+00   0.77960699E-02   0.00000000E+00   0.60416537E-02   0.26502261E+00   0.64771269E-02
       -0.733333   0.26373177E+00   0.28810455E+00   0.27207491E+00   0.80463304E-02   0.00000000E+00   0.61817424E-02   0.26564520E+00   0.65581490E-02
       -0.716667   0.26410608E+00   0.28817686E+00   0.27297728E+00   0.83030622E-02   0.00000000E+00   0.63234984E-02   0.26624812E+00   0.66421977E-02
       -0.700000   0.26447748E+00   0.28823175E+00   0.27379851E+00   0.85596520E-02   0.00000000E+00   0.64646410E-02   0.26682824E+00   0.67272276E-02
       -0.683333   0.26484578E+00   0.28827242E+00   0.27453502E+00   0.88096718E-02   0.00000000E+00   0.66029649E-02   0.26738345E+00   0.68112095E-02
       -0.666667   0.26521102E+00   0.28830260E+00   0.27518675E+00   0.90472568E-02   0.00000000E+00   0.67364746E-02   0.26791274E+00   0.68923292E-02
       -0.650000   0.26557338E+00   0.28832635E+00   0.27575706E+00   0.92674464E-02   0.00000000E+00   0.68635054E-02   0.26841628E+00   0.69691883E-02
       -0.633333   0.26593311E+00   0.28834774E+00   0.27625242E+00   0.94664512E-02   0.00000000E+00   0.69828126E-02   0.26889526E+00   0.70409723E-02
       -0.616667   0.26629042E+00   0.28837050E+00   0.27668160E+00   0.96418204E-02   0.00000000E+00   0.70936178E-02   0.26935168E+00   0.71075571E-02
       -0.600000   0.26664527E+00   0.28839765E+00   0.27705479E+00   0.97924916E-02   0.00000000E+00   0.71956042E-02   0.26978798E+00   0.71695301E-02
       -0.583333   0.26699722E+00   0.28843125E+00   0.27738249E+00   0.99187253E-02   0.00000000E+00   0.72888648E-02   0.27020665E+00   0.72281191E-02
       -0.566667   0.26734535E+00   0.28847218E+00   0.27767456E+00   0.10021937E-01   0.00000000E+00   0.73738113E-02   0.27060992E+00   0.72850390E-02
       -0.550000   0.26768813E+00   0.28852005E+00   0.27793941E+00   0.10104457E-01   0.00000000E+00   0.74510625E-02   0.27099948E+00   0.73422806E-02
       -0.533333   0.26802354E+00   0.28857332E+00   0.27818344E+00   0.10169242E-01   0.00000000E+00   0.75213279E-02   0.27137638E+00   0.74018790E-02
       -0.516667   0.26834920E+00   0.28862943E+00   0.27841092E+00   0.10219591E-01   0.00000000E+00   0.75853045E-02   0.27174106E+00   0.74657013E-02
       -0.500000   0.26866255E+00   0.28868520E+00   0.27862412E+00   0.10258865E-01   0.00000000E+00   0.76435960E-02   0.27209350E+00   0.75352866E-02
       -0.483333   0.26896117E+00   0.28873712E+00   0.27882372E+00   0.10290262E-01   0.00000000E+00   0.76966629E-02   0.27243353E+00   0.76117570E-02
       -0.466667   0.26924303E+00   0.28878177E+00   0.27900938E+00   0.10316621E-01   0.00000000E+00   0.77447984E-02   0.27276112E+00   0.76958036E-02
       -0.450000   0.26950676E+00   0.28881618E+00   0.27918034E+00   0.10340289E-01   0.00000000E+00   0.77881291E-02   0.27307664E+00   0.77877329E-02
       -0.433333   0.26975175E+00   0.28883805E+00   0.27933592E+00   0.10363021E-01   0.00000000E+00   0.78266291E-02   0.27338104E+00   0.78875529E-02
       -0.416667   0.26997827E+00   0.28884591E+00   0.27947591E+00   0.10385921E-01   0.00000000E+00   0.78601422E-02   0.27367593E+00   0.79950745E-02
       -0.400000   0.27018733E+00   0.28883920E+00   0.27960069E+00   0.10409419E-01   0.00000000E+00   0.78884052E-02   0.27396340E+00   0.81100075E-02
       -0.383333   0.27038056E+00   0.28881814E+00   0.27971121E+00   0.10433284E-01   0.00000000E+00   0.79110702E-02   0.27424581E+00   0.82320398E-02
       -0.366667   0.27055993E+00   0.28878359E+00   0.27980873E+00   0.10456668E-01   0.00000000E+00   0.79277245E-02   0.27452544E+00   0.83608919E-02
       -0.350000   0.27072742E+00   0.28873686E+00   0.27989448E+00   0.10478194E-01   0.00000000E+00   0.79379105E-02   0.27480404E+00   0.84963496E-02
       -0.333333   0.27088475E+00   0.28867947E+00   0.27996935E+00   0.10496073E-01   0.00000000E+00   0.79411461E-02   0.27508249E+00   0.86382753E-02
       -0.316667   0.27103314E+00   0.28861298E+00   0.28003349E+00   0.10508253E-01   0.00000000E+00   0.79369495E-02   0.27536051E+00   0.87866023E-02
       -0.300000   0.27117308E+00   0.28853884E+00   0.28008616E+00   0.10512579E-01   0.00000000E+00   0.79248666E-02   0.27563648E+00   0.89413108E-02
       -0.283333   0.27130435E+00   0.28845832E+00   0.28012562E+00   0.10506958E-01   0.00000000E+00   0.79045010E-02   0.27590747E+00   0.91023871E-02
       -0.266667   0.27142602E+00   0.28837251E+00   0.28014922E+00   0.10489509E-01   0.00000000E+00   0.78755426E-02   0.27616940E+00   0.92697624E-02
       -0.250000   0.27153660E+00   0.28828233E+00   0.28015357E+00   0.10458682E-01   0.00000000E+00   0.78377922E-02   0.27641738E+00   0.94432319E-02
       -0.233333   0.27163432E+00   0.28818861E+00   0.28013495E+00   0.10413352E-01   0.00000000E+00   0.77911778E-02   0.27664616E+00   0.96223588E-02
       -0.216667   0.27171735E+00   0.28809222E+00   0.28008961E+00   0.10352869E-01   0.00000000E+00   0.77357612E-02   0.27685062E+00   0.98063705E-02
       -0.200000   0.27178412E+00   0.28799409E+00   0.28001429E+00   0.10277087E-01   0.00000000E+00   0.76717345E-02   0.27702629E+00   0.99940637E-02
       -0.183333   0.27183359E+00   0.28789531E+00   0.27990656E+00   0.10186363E-01   0.00000000E+00   0.75994094E-02   0.27716986E+00   0.10183733E-01
       -0.166667   0.27186546E+00   0.28779715E+00   0.27976528E+00   0.10081544E-01   0.00000000E+00   0.75192031E-02   0.27727956E+00   0.10373139E-01
       -0.150000   0.27188031E+00   0.28770112E+00   0.27959080E+00   0.99639417E-02   0.00000000E+00   0.74316261E-02   0.27735542E+00   0.10559534E-01
       -0.133333   0.27187968E+00   0.28760889E+00   0.27938518E+00   0.98353067E-02   0.00000000E+00   0.73372762E-02   0.27739941E+00   0.10739737E-01
       -0.116667   0.27186603E+00   0.28752228E+00   0.27915214E+00   0.96977852E-02   0.00000000E+00   0.72368418E-02   0.27741532E+00   0.10910259E-01
       -0.100000   0.27184259E+00   0.28744316E+00   0.27889691E+00   0.95538658E-02   0.00000000E+00   0.71311148E-02   0.27740854E+00   0.11067469E-01
       -0.083333   0.27181317E+00   0.28737333E+00   0.27862584E+00   0.94063037E-02   0.00000000E+00   0.70210092E-02   0.27738563E+00   0.11207772E-01
       -0.066667   0.27178179E+00   0.28731436E+00   0.27834592E+00   0.92580204E-02   0.00000000E+00   0.69075822E-02   0.27735372E+00   0.11327788E-01
       -0.050000   0.27175244E+00   0.28726746E+00   0.27806413E+00   0.91119798E-02   0.00000000E+00   0.67920502E-02   0.27731992E+00   0.11424514E-01
       -0.033333   0.27172863E+00   0.28723331E+00   0.27778679E+00   0.89710453E-02   0.00000000E+00   0.66757945E-02   0.27729060E+00   0.11495471E-01
       -0.016667   0.27171315E+00   0.28721190E+00   0.27751895E+00   0.88378302E-02   0.00000000E+00   0.65603532E-02   0.27727084E+00   0.11538808E-01
        0.000000   0.27170779E+00   0.28720246E+00   0.27726388E+00   0.87145546E-02   0.00000000E+00   0.64473957E-02   0.27726388E+00   0.11553382E-01
        0.016667   0.27171315E+00   0.28720347E+00   0.27702273E+00   0.86029253E-02   0.00000000E+00   0.63386832E-02   0.27727084E+00   0.11538808E-01
        0.033333   0.27172863E+00   0.28721260E+00   0.27679442E+00   0.85040517E-02   0.00000000E+00   0.62360136E-02   0.27729060E+00   0.11495471E-01
        0.050000   0.27175244E+00   0.28722691E+00   0.27657570E+00   0.84184115E-02   0.00000000E+00   0.61411570E-02   0.27731992E+00   0.11424514E-01
        0.066667   0.27178179E+00   0.28724297E+00   0.27636152E+00   0.83458692E-02   0.00000000E+00   0.60557843E-02   0.27735372E+00   0.11327788E-01
        0.083333   0.27181317E+00   0.28725706E+00   0.27614541E+00   0.82857481E-02   0.00000000E+00   0.59813903E-02   0.27738563E+00   0.11207772E-01
        0.100000   0.27184259E+00   0.28726544E+00   0.27592018E+00   0.82369459E-02   0.00000000E+00   0.59192182E-02   0.27740854E+00   0.11067469E-01
        0.116667   0.27186603E+00   0.28726456E+00   0.27567850E+00   0.81980773E-02   0.00000000E+00   0.58701865E-02   0.27741532E+00   0.10910259E-01
        0.133333   0.27187968E+00   0.28725135E+00   0.27541364E+00   0.81676256E-02   0.00000000E+00   0.58348267E-02   0.27739941E+00   0.10739737E-01
        0.150000   0.27188031E+00   0.28722336E+00   0.27512004E+00   0.81440804E-02   0.00000000E+00   0.58132375E-02   0.27735542E+00   0.10559534E-01
        0.166667   0.27186546E+00   0.28717897E+00   0.27479383E+00   0.81260501E-02   0.00000000E+00   0.58050649E-02   0.27727956E+00   0.10373139E-01
        0.183333   0.27183359E+00   0.28711743E+00   0.27443315E+00   0.81123361E-02   0.00000000E+00   0.58095137E-02   0.27716986E+00   0.10183733E-01
        0.200000   0.27178412E+00   0.28703892E+00   0.27403828E+00   0.81019709E-02   0.00000000E+00   0.58253937E-02   0.27702629E+00   0.99940637E-02
        0.216667   0.27171735E+00   0.28694443E+00   0.27361162E+00   0.80942240E-02   0.00000000E+00   0.58511987E-02   0.27685062E+00   0.98063705E-02
        0.233333   0.27163432E+00   0.28683567E+00   0.27315737E+00   0.80885843E-02   0.00000000E+00   0.58852091E-02   0.27664616E+00   0.96223588E-02
        0.250000   0.27153660E+00   0.28671482E+00   0.27268119E+00   0.80847281E-02   0.00000000E+00   0.59256094E-02   0.27641738E+00   0.94432319E-02
        0.266667   0.27142602E+00   0.28658433E+00   0.27218958E+00   0.80824816E-02   0.00000000E+00   0.59706056E-02   0.27616940E+00   0.92697624E-02
        0.283333   0.27130435E+00   0.28644663E+00   0.27168931E+00   0.80817814E-02   0.00000000E+00   0.60185324E-02   0.27590747E+00   0.91023871E-02
        0.300000   0.27117308E+00   0.28630390E+00   0.27118680E+00   0.80826383E-02   0.00000000E+00   0.60679403E-02   0.27563648E+00   0.89413108E-02
        0.316667   0.27103314E+00   0.28615782E+00   0.27068753E+00   0.80851033E-02   0.00000000E+00   0.61176557E-02   0.27536051E+00   0.87866023E-02
        0.333333   0.27088475E+00   0.28600944E+00   0.27019563E+00   0.80892412E-02   0.00000000E+00   0.61668126E-02   0.27508249E+00   0.86382753E-02
        0.350000   0.27072742E+00   0.28585910E+00   0.26971359E+00   0.80951098E-02   0.00000000E+00   0.62148549E-02   0.27480404E+00   0.84963496E-02
        0.366667   0.27055993E+00   0.28570642E+00   0.26924215E+00   0.81027496E-02   0.00000000E+00   0.62615131E-02   0.27452544E+00   0.83608919E-02
        0.383333   0.27038056E+00   0.28555039E+00   0.26878041E+00   0.81121827E-02   0.00000000E+00   0.63067597E-02   0.27424581E+00   0.82320398E-02
        0.400000   0.27018733E+00   0.28538956E+00   0.26832610E+00   0.81234194E-02   0.00000000E+00   0.63507482E-02   0.27396340E+00   0.81100075E-02
