#     w           TDOS(K,w)           Gamma(0,w)           ADOS(K,w)       ADOS_Error        TDOS_Error    Gamma_Error    TDOS_Loc(R=0)       TDOS_Loc_Error
       -2.500000   0.47221116E-04   0.16814514E-03   0.47116181E-04   0.16330617E-05   0.00000000E+00   0.19239283E-05   0.46899761E-04   0.84312289E-06
       -2.483333   0.49586007E-04   0.17207311E-03   0.49494249E-04   0.17484359E-05   0.00000000E+00   0.47112022E-05   0.49252093E-04   0.91107353E-06
       -2.466667   0.52214530E-04   0.17648592E-03   0.52141936E-04   0.18787246E-05   0.00000000E+00   0.53020800E-05   0.51868222E-04   0.98831558E-06
       -2.450000   0.55156399E-04   0.18148092E-03   0.55111283E-04   0.20269747E-05   0.00000000E+00   0.60319156E-05   0.54798251E-04   0.10768208E-05
       -2.433333   0.58476572E-04   0.18718713E-03   0.58470691E-04   0.21972031E-05   0.00000000E+00   0.69543922E-05   0.58107740E-04   0.11791512E-05
       -2.416667   0.62260779E-04   0.19377710E-03   0.62311080E-04   0.23947769E-05   0.00000000E+00   0.81556658E-05   0.61883353E-04   0.12987389E-05
       -2.400000   0.66624715E-04   0.20148693E-03   0.66756207E-04   0.26270417E-05   0.00000000E+00   0.97841900E-05   0.66242250E-04   0.14402934E-05
       -2.383333   0.71728947E-04   0.21064936E-03   0.71979607E-04   0.29043543E-05   0.00000000E+00   0.12123027E-04   0.71347349E-04   0.16103741E-05
       -2.366667   0.77804073E-04   0.22175070E-03   0.78233656E-04   0.32418599E-05   0.00000000E+00   0.15802555E-04   0.77433111E-04   0.18185828E-05
       -2.350000   0.85195611E-04   0.23553441E-03   0.85902440E-04   0.36627347E-05   0.00000000E+00   0.22669643E-04   0.84851641E-04   0.20795106E-05
       -2.333333   0.94449977E-04   0.25320459E-03   0.95605444E-04   0.42045645E-05   0.00000000E+00   0.43554821E-04   0.94161107E-04   0.24165447E-05
       -2.316667   0.10649489E-03   0.27686607E-03   0.10842163E-03   0.49331750E-05   0.00000000E+00   0.11373273E-02   0.10631152E-03   0.28700196E-05
       -2.300000   0.12306793E-03   0.31061000E-03   0.12644193E-03   0.59768495E-05   0.00000000E+00   0.10780224E-01   0.12308636E-03   0.35167623E-05
       -2.283333   0.14793388E-03   0.36375318E-03   0.15441818E-03   0.76288239E-05   0.00000000E+00   0.91381277E-02   0.14835680E-03   0.45264008E-05
       -2.266667   0.19150307E-03   0.46399357E-03   0.20646277E-03   0.10765527E-04   0.00000000E+00   0.14205301E-01   0.19282931E-03   0.63799064E-05
       -2.250000   0.30256072E-03   0.75804632E-03   0.35733195E-03   0.20067257E-04   0.00000000E+00   0.30937788E-01   0.30651004E-03   0.11448902E-04
       -2.233333   0.33647927E-02   0.12122460E-01   0.61058734E-02   0.38250136E-03   0.00000000E+00   0.25681890E-01   0.33965859E-02   0.19229637E-03
       -2.216667   0.33153774E-01   0.88525891E-01   0.43888256E-01   0.26931920E-02   0.00000000E+00   0.25831854E-01   0.34245148E-01   0.16180817E-02
       -2.200000   0.44659080E-01   0.93268181E-01   0.46896933E-01   0.28904309E-02   0.00000000E+00   0.23499269E-01   0.46804238E-01   0.21549839E-02
       -2.183333   0.56835748E-01   0.11224662E+00   0.56353825E-01   0.34479087E-02   0.00000000E+00   0.23486907E-01   0.58085441E-01   0.26027115E-02
       -2.166667   0.64888690E-01   0.12589837E+00   0.63542643E-01   0.38737542E-02   0.00000000E+00   0.22695608E-01   0.65330888E-01   0.28982290E-02
       -2.150000   0.72060897E-01   0.13825641E+00   0.70322866E-01   0.42732886E-02   0.00000000E+00   0.23369657E-01   0.71978091E-01   0.31742662E-02
       -2.133333   0.78677201E-01   0.14939645E+00   0.76769982E-01   0.46497363E-02   0.00000000E+00   0.24222914E-01   0.78242933E-01   0.34344784E-02
       -2.116667   0.84934631E-01   0.15952358E+00   0.82969705E-01   0.50067957E-02   0.00000000E+00   0.14897692E-01   0.84241538E-01   0.36802088E-02
       -2.100000   0.90915217E-01   0.16875797E+00   0.88953287E-01   0.53457963E-02   0.00000000E+00   0.14342385E-01   0.90011964E-01   0.39115026E-02
