#     w           TDOS(K,w)           Gamma(0,w)           ADOS(K,w)       ADOS_Error        TDOS_Error    Gamma_Error    TDOS_Loc(R=0)       TDOS_Loc_Error
       -2.500000   0.19337382E-04   0.12531463E-03   0.19396137E-04   0.10393492E-06   0.00000000E+00   0.12244682E-06   0.19273018E-04   0.13278913E-07
       -2.483333   0.19674110E-04   0.12580425E-03   0.19736056E-04   0.10661278E-06   0.00000000E+00   0.18837217E-06   0.19607347E-04   0.13522583E-07
       -2.466667   0.20020707E-04   0.12631022E-03   0.20086058E-04   0.10939105E-06   0.00000000E+00   0.19465871E-06   0.19951423E-04   0.14680391E-07
       -2.450000   0.20377543E-04   0.12683320E-03   0.20446529E-04   0.11227437E-06   0.00000000E+00   0.20125965E-06   0.20305608E-04   0.15544670E-07
       -2.433333   0.20745051E-04   0.12737398E-03   0.20817923E-04   0.11526804E-06   0.00000000E+00   0.20819548E-06   0.20670329E-04   0.15753333E-07
       -2.416667   0.21123699E-04   0.12793344E-03   0.21200727E-04   0.11837777E-06   0.00000000E+00   0.21548908E-06   0.21046043E-04   0.16162579E-07
       -2.400000   0.21513985E-04   0.12851255E-03   0.21595463E-04   0.12160966E-06   0.00000000E+00   0.22316559E-06   0.21433240E-04   0.17332435E-07
       -2.383333   0.21916443E-04   0.12911232E-03   0.22002688E-04   0.12497027E-06   0.00000000E+00   0.23125251E-06   0.21832441E-04   0.17888696E-07
       -2.366667   0.22331636E-04   0.12973385E-03   0.22422996E-04   0.12846661E-06   0.00000000E+00   0.23977998E-06   0.22244199E-04   0.17705218E-07
       -2.350000   0.22760168E-04   0.13037832E-03   0.22857019E-04   0.13210620E-06   0.00000000E+00   0.24878105E-06   0.22669105E-04   0.18952303E-07
       -2.333333   0.23202680E-04   0.13104701E-03   0.23305432E-04   0.13589709E-06   0.00000000E+00   0.25829200E-06   0.23107786E-04   0.19462322E-07
       -2.316667   0.23659859E-04   0.13174126E-03   0.23768960E-04   0.13984797E-06   0.00000000E+00   0.26835273E-06   0.23560913E-04   0.20444224E-07
       -2.300000   0.24132435E-04   0.13246256E-03   0.24248375E-04   0.14396814E-06   0.00000000E+00   0.27900725E-06   0.24029202E-04   0.21381082E-07
       -2.283333   0.24621193E-04   0.13321249E-03   0.24744507E-04   0.14826766E-06   0.00000000E+00   0.29030415E-06   0.24513417E-04   0.21533262E-07
       -2.266667   0.25126971E-04   0.13399277E-03   0.25258246E-04   0.15275734E-06   0.00000000E+00   0.30229723E-06   0.25014378E-04   0.22569813E-07
       -2.250000   0.25650670E-04   0.13480524E-03   0.25790549E-04   0.15744888E-06   0.00000000E+00   0.31504616E-06   0.25532963E-04   0.23421802E-07
       -2.233333   0.26193255E-04   0.13565193E-03   0.26342448E-04   0.16235494E-06   0.00000000E+00   0.32861733E-06   0.26070115E-04   0.24108804E-07
       -2.216667   0.26755767E-04   0.13653502E-03   0.26915054E-04   0.16748923E-06   0.00000000E+00   0.34308478E-06   0.26626846E-04   0.25298437E-07
       -2.200000   0.27339326E-04   0.13745690E-03   0.27509568E-04   0.17286664E-06   0.00000000E+00   0.35853127E-06   0.27204250E-04   0.26434588E-07
       -2.183333   0.27945142E-04   0.13842015E-03   0.28127290E-04   0.17850334E-06   0.00000000E+00   0.37504965E-06   0.27803502E-04   0.27404985E-07
       -2.166667   0.28574524E-04   0.13942761E-03   0.28769631E-04   0.18441697E-06   0.00000000E+00   0.39274431E-06   0.28425876E-04   0.28457156E-07
       -2.150000   0.29228888E-04   0.14048240E-03   0.29438124E-04   0.19062678E-06   0.00000000E+00   0.41173306E-06   0.29072748E-04   0.29911689E-07
